customerid,gender,senior_citizen,partner,dependents,tenure_months,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,tenure_group,charges_tier,churn_display
5276-KQWHG,Female,Yes,False,False,2,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.6,131.65,Yes,1,0-6 mo,Medium ($35-70),Churned
2565-JSLRY,Male,No,False,False,1,1,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,24.05,24.05,Yes,1,0-6 mo,Low ($0-35),Churned
6689-KXGBO,Female,No,False,False,1,1,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,False,Electronic check,50.55,50.55,Yes,1,0-6 mo,Medium ($35-70),Churned
6615-NGGZJ,Male,No,False,False,14,14,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,100.55,1415.55,Yes,1,13-24 mo,High ($70+),Churned
4255-DDUOU,Female,No,True,True,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,20.5,20.5,Yes,1,0-6 mo,Low ($0-35),Churned
2984-MIIZL,Male,No,False,False,4,4,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),74.8,321.9,Yes,1,0-6 mo,High ($70+),Churned
5590-YRFJT,Female,No,True,False,20,20,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,24.45,482.8,Yes,1,13-24 mo,Low ($0-35),Churned
3677-TNKIO,Female,No,False,False,14,14,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Credit card (automatic),71.0,914.0,Yes,1,13-24 mo,High ($70+),Churned
9667-EQRXU,Female,Yes,False,False,30,30,False,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,True,Electronic check,40.3,1172.95,Yes,1,25-48 mo,Medium ($35-70),Churned
3329-WDIOK,Female,No,False,False,3,3,False,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,50.6,155.35,Yes,1,0-6 mo,Medium ($35-70),Churned
2873-ZLIWT,Female,No,True,False,40,40,True,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,True,Electronic check,84.85,3303.05,Yes,1,25-48 mo,High ($70+),Churned
3415-TAILE,Female,No,True,True,2,2,True,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,False,Mailed check,65.7,134.35,Yes,1,0-6 mo,Medium ($35-70),Churned
1915-IOFGU,Female,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Electronic check,70.5,70.5,Yes,1,0-6 mo,High ($70+),Churned
3045-XETSH,Female,No,False,False,10,10,True,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,94.85,953.45,Yes,1,7-12 mo,High ($70+),Churned
7239-HZZCX,Male,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.75,19.75,Yes,1,0-6 mo,Low ($0-35),Churned
7683-CBDKJ,Male,No,True,True,14,14,True,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,65.45,937.6,Yes,1,13-24 mo,Medium ($35-70),Churned
0946-CLJTI,Male,Yes,True,False,58,58,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,98.7,5812.6,Yes,1,49-72 mo,High ($70+),Churned
0628-CNQRM,Male,No,True,False,22,22,True,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,True,Bank transfer (automatic),67.5,1544.05,Yes,1,13-24 mo,Medium ($35-70),Churned
7665-TOALD,Female,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.6,69.6,Yes,1,0-6 mo,Medium ($35-70),Churned
0112-QWPNC,Male,No,True,False,49,49,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,False,Electronic check,84.35,4059.35,Yes,1,49-72 mo,High ($70+),Churned
0324-BRPCJ,Female,Yes,True,False,68,68,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,100.2,6851.65,Yes,1,49-72 mo,High ($70+),Churned
2777-PHDEI,Female,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,False,Electronic check,78.05,78.05,Yes,1,0-6 mo,High ($70+),Churned
1196-AMORA,Male,No,False,False,7,7,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Electronic check,73.6,520.0,Yes,1,7-12 mo,High ($70+),Churned
4282-YMKNA,Female,No,False,False,9,9,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.75,706.6,Yes,1,7-12 mo,High ($70+),Churned
5356-RHIPP,Male,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,20.2,20.2,Yes,1,0-6 mo,Low ($0-35),Churned
9189-JWSHV,Female,Yes,True,False,24,24,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,93.55,2264.05,Yes,1,13-24 mo,High ($70+),Churned
0746-JTRFU,Male,No,False,False,2,2,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,25.05,56.35,Yes,1,0-6 mo,Low ($0-35),Churned
0576-WNXXC,Male,Yes,True,False,27,27,True,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,95.55,2510.2,Yes,1,25-48 mo,High ($70+),Churned
4628-CTTLA,Male,No,False,False,57,57,False,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,39.3,2111.45,Yes,1,49-72 mo,Medium ($35-70),Churned
2876-VBBBL,Female,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,20.25,20.25,Yes,1,0-6 mo,Low ($0-35),Churned
6834-NXDCA,Female,No,False,False,13,13,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,23.9,300.8,Yes,1,13-24 mo,Low ($0-35),Churned
5597-GLBUC,Female,No,False,False,1,1,True,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,True,Electronic check,85.45,85.45,Yes,1,0-6 mo,High ($70+),Churned
2748-MYRVK,Female,No,False,False,63,63,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,False,Bank transfer (automatic),99.9,6137.0,Yes,1,49-72 mo,High ($70+),Churned
4822-YCXMX,Male,No,False,False,25,25,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,84.8,2043.45,Yes,1,25-48 mo,High ($70+),Churned
9821-POOTN,Male,No,True,False,35,35,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,75.2,2576.2,Yes,1,25-48 mo,High ($70+),Churned
6559-ILWKJ,Male,No,True,False,71,71,False,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,False,Electronic check,49.35,3515.25,Yes,1,49-72 mo,Medium ($35-70),Churned
4229-CZMLL,Male,No,False,False,6,6,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.9,469.8,Yes,1,0-6 mo,High ($70+),Churned
3663-MITLP,Female,No,False,False,15,15,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,101.25,1457.25,Yes,1,13-24 mo,High ($70+),Churned
9025-ZRPVR,Male,No,False,False,9,9,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,18.95,185.6,Yes,1,7-12 mo,Low ($0-35),Churned
3285-UCQVC,Female,No,False,False,37,37,False,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,False,Credit card (automatic),28.6,973.55,Yes,1,25-48 mo,Low ($0-35),Churned
5482-PLVPE,Female,Yes,False,False,2,2,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,24.35,41.85,Yes,1,0-6 mo,Low ($0-35),Churned
4902-OHLSK,Female,Yes,False,False,29,29,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,False,Electronic check,98.65,2862.75,Yes,1,25-48 mo,High ($70+),Churned
0495-ZBNGW,Male,Yes,True,False,5,5,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),79.9,343.95,Yes,1,0-6 mo,High ($70+),Churned
2357-COQEK,Female,Yes,False,False,28,28,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,103.3,2890.65,Yes,1,25-48 mo,High ($70+),Churned
3737-GCSPV,Female,No,True,False,11,11,True,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,True,Credit card (automatic),96.2,1222.05,Yes,1,7-12 mo,High ($70+),Churned
4088-YLDSU,Male,No,True,False,55,55,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,True,Electronic check,104.15,5743.05,Yes,1,49-72 mo,High ($70+),Churned
2034-CGRHZ,Male,Yes,False,False,24,24,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),102.95,2496.7,Yes,1,13-24 mo,High ($70+),Churned
5797-APWZC,Female,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,90.6,90.6,Yes,1,0-6 mo,High ($70+),Churned
3683-QKIUE,Female,No,False,False,6,6,True,No,DSL,No,No,No,Yes,No,No,Month-to-month,True,Bank transfer (automatic),50.8,288.05,Yes,1,0-6 mo,Medium ($35-70),Churned
4228-ZGYUW,Male,No,False,False,4,4,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,90.05,368.1,Yes,1,0-6 mo,High ($70+),Churned
3519-ZKXGG,Female,No,True,False,3,3,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,75.85,256.6,Yes,1,0-6 mo,High ($70+),Churned
6416-TVAIH,Male,No,True,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,68.5,68.5,Yes,1,0-6 mo,Medium ($35-70),Churned
5108-ADXWO,Male,No,False,False,11,11,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,73.5,791.75,Yes,1,7-12 mo,High ($70+),Churned
3066-RRJIO,Female,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,69.95,69.95,Yes,1,0-6 mo,Medium ($35-70),Churned
6715-OFDBP,Male,No,False,False,5,5,True,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,70.05,346.4,Yes,1,0-6 mo,High ($70+),Churned
1567-DSCIC,Male,No,False,False,8,8,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,True,Electronic check,94.0,773.65,Yes,1,7-12 mo,High ($70+),Churned
2150-UWTFY,Female,No,True,True,22,22,True,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,False,Mailed check,61.15,1422.05,Yes,1,13-24 mo,Medium ($35-70),Churned
2683-BPJSO,Male,No,True,False,29,29,True,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,True,Electronic check,84.45,2467.1,Yes,1,25-48 mo,High ($70+),Churned
2157-MXBJS,Male,No,True,False,13,13,True,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,True,Mailed check,75.3,989.45,Yes,1,13-24 mo,High ($70+),Churned
9360-AHGNL,Female,Yes,True,False,43,43,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,True,Mailed check,109.55,4830.25,Yes,1,25-48 mo,High ($70+),Churned
1087-UDSIH,Female,No,False,False,3,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,19.6,59.75,Yes,1,0-6 mo,Low ($0-35),Churned
5485-WUYWF,Male,Yes,False,False,2,2,True,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,False,Bank transfer (automatic),66.4,94.55,Yes,1,0-6 mo,Medium ($35-70),Churned
2632-UCGVD,Male,Yes,True,False,66,66,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Credit card (automatic),100.05,6871.9,Yes,1,49-72 mo,High ($70+),Churned
5445-PZWGX,Male,No,False,False,62,62,True,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,False,Electronic check,102.0,6529.25,Yes,1,49-72 mo,High ($70+),Churned
9170-CCKOU,Male,No,True,False,17,17,True,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,False,Credit card (automatic),90.2,1454.15,Yes,1,13-24 mo,High ($70+),Churned
1043-YCUTE,Male,No,True,False,56,56,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),25.15,1327.15,Yes,1,49-72 mo,Low ($0-35),Churned
3814-MLAXC,Female,No,False,False,31,31,True,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,True,Credit card (automatic),79.85,2404.15,Yes,1,25-48 mo,High ($70+),Churned
1226-UDFZR,Female,No,False,False,2,2,True,No,DSL,No,Yes,No,No,No,No,Month-to-month,True,Mailed check,49.6,114.7,Yes,1,0-6 mo,Medium ($35-70),Churned
6425-YQLLO,Female,Yes,True,False,66,66,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,True,Credit card (automatic),105.95,6975.25,Yes,1,49-72 mo,High ($70+),Churned
5442-UTCVD,Male,No,False,False,3,3,True,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,False,Electronic check,91.85,257.05,Yes,1,0-6 mo,High ($70+),Churned
7734-DBOAI,Female,No,True,True,1,1,False,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,False,Electronic check,40.1,40.1,Yes,1,0-6 mo,Medium ($35-70),Churned
2091-RFFBA,Female,Yes,False,False,31,31,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,73.9,2217.15,Yes,1,25-48 mo,High ($70+),Churned
2114-MGINA,Female,No,False,False,14,14,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Mailed check,89.8,1129.1,Yes,1,13-24 mo,High ($70+),Churned
4489-SNOJF,Female,No,True,True,35,35,True,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,False,Electronic check,72.25,2568.55,Yes,1,25-48 mo,High ($70+),Churned
6899-PPEEA,Female,Yes,False,False,37,37,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,96.55,3580.3,Yes,1,25-48 mo,High ($70+),Churned
2187-LZGPL,Female,No,False,False,7,7,False,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,True,Credit card (automatic),40.1,293.3,Yes,1,7-12 mo,Medium ($35-70),Churned
4597-NUCQV,Male,Yes,False,False,24,24,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,101.25,2440.15,Yes,1,13-24 mo,High ($70+),Churned
9019-QVLZD,Female,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,False,Electronic check,79.55,79.55,Yes,1,0-6 mo,High ($70+),Churned
3707-LRWZD,Female,No,False,False,32,32,True,Yes,Fiber optic,No,No,No,No,Yes,No,One year,False,Electronic check,84.05,2781.85,Yes,1,25-48 mo,High ($70+),Churned
1455-ESIQH,Male,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,89.1,89.1,Yes,1,0-6 mo,High ($70+),Churned
2979-SXESE,Female,No,True,False,17,17,True,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,False,Electronic check,94.4,1607.2,Yes,1,13-24 mo,High ($70+),Churned
4013-TLDHQ,Male,No,False,False,19,19,True,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,True,Electronic check,78.25,1490.95,Yes,1,13-24 mo,High ($70+),Churned
3754-DXMRT,Male,Yes,False,False,2,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,44.15,92.65,Yes,1,0-6 mo,Medium ($35-70),Churned
7130-VTEWQ,Female,Yes,False,False,8,8,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,75.75,606.25,Yes,1,7-12 mo,High ($70+),Churned
6121-VZNQB,Female,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Mailed check,19.1,19.1,Yes,1,0-6 mo,Low ($0-35),Churned
7903-CMPEY,Male,Yes,True,False,1,1,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,80.3,80.3,Yes,1,0-6 mo,High ($70+),Churned
6996-KNSML,Female,No,False,False,1,1,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,74.9,74.9,Yes,1,0-6 mo,High ($70+),Churned
1704-NRWYE,Female,Yes,False,False,9,9,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,80.85,751.65,Yes,1,7-12 mo,High ($70+),Churned
2592-SEIFQ,Male,No,False,False,3,3,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,24.75,66.95,Yes,1,0-6 mo,Low ($0-35),Churned
7481-ATQQS,Female,Yes,False,False,49,49,True,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,True,Credit card (automatic),90.85,4515.85,Yes,1,49-72 mo,High ($70+),Churned
8642-GVWRF,Female,No,True,False,2,2,True,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,False,Bank transfer (automatic),79.7,165.0,Yes,1,0-6 mo,High ($70+),Churned
3400-ESFUW,Male,No,True,False,55,55,True,No,DSL,Yes,Yes,No,Yes,No,No,Two year,False,Bank transfer (automatic),57.55,3046.4,Yes,1,49-72 mo,Medium ($35-70),Churned
2057-ZBLPD,Female,No,True,False,21,21,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,86.5,1808.7,Yes,1,13-24 mo,High ($70+),Churned
5502-RLUYV,Female,No,True,False,69,69,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,103.95,7446.9,Yes,1,49-72 mo,High ($70+),Churned
0023-HGHWL,Male,Yes,False,False,1,1,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,25.1,25.1,Yes,1,0-6 mo,Low ($0-35),Churned
9039-RBEEE,Male,No,False,False,39,39,False,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,True,Credit card (automatic),48.95,1880.85,Yes,1,25-48 mo,Medium ($35-70),Churned
8417-FMLZI,Male,No,True,False,6,6,True,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Credit card (automatic),83.55,477.55,Yes,1,0-6 mo,High ($70+),Churned
1792-UXAFY,Female,Yes,False,False,17,17,True,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,True,Electronic check,89.15,1496.9,Yes,1,13-24 mo,High ($70+),Churned
0515-YPMCW,Male,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,70.45,70.45,Yes,1,0-6 mo,High ($70+),Churned
0378-XSZPU,Male,No,True,False,58,58,True,No,DSL,Yes,Yes,Yes,No,No,No,One year,False,Credit card (automatic),60.3,3563.8,Yes,1,49-72 mo,Medium ($35-70),Churned
4729-XKASR,Male,No,False,True,1,1,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,24.75,24.75,Yes,1,0-6 mo,Low ($0-35),Churned
5449-FIBXJ,Male,No,True,False,19,19,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,False,Electronic check,103.3,2012.7,Yes,1,13-24 mo,High ($70+),Churned
9837-BMCLM,Male,No,False,False,3,3,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,78.5,242.05,Yes,1,0-6 mo,High ($70+),Churned
0137-UDEUO,Female,No,False,False,3,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,63.75,Yes,1,0-6 mo,Low ($0-35),Churned
6161-UUUTA,Male,Yes,False,False,3,3,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,79.9,260.9,Yes,1,0-6 mo,High ($70+),Churned
6543-XRMYR,Female,Yes,False,False,30,30,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,99.7,2967.35,Yes,1,25-48 mo,High ($70+),Churned
4925-LMHOK,Male,No,False,False,15,15,True,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,True,Credit card (automatic),58.6,939.7,Yes,1,13-24 mo,Medium ($35-70),Churned
1455-UGQVH,Male,No,True,False,10,10,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,98.5,1037.75,Yes,1,7-12 mo,High ($70+),Churned
8280-MQRQN,Female,No,False,False,1,1,True,No,DSL,No,No,Yes,No,No,No,Month-to-month,True,Mailed check,50.45,50.45,Yes,1,0-6 mo,Medium ($35-70),Churned
2037-SGXHH,Male,No,True,False,38,38,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,True,Electronic check,94.65,3624.3,Yes,1,25-48 mo,High ($70+),Churned
3178-FESZO,Female,No,False,False,1,1,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),100.25,100.25,Yes,1,0-6 mo,High ($70+),Churned
6087-MVHJH,Female,No,False,False,16,16,True,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,88.45,1422.1,Yes,1,13-24 mo,High ($70+),Churned
4603-JANFB,Male,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.85,69.85,Yes,1,0-6 mo,Medium ($35-70),Churned
3018-TFTSU,Male,No,False,False,12,12,True,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,False,Bank transfer (automatic),81.7,858.6,Yes,1,7-12 mo,High ($70+),Churned
4806-KEXQR,Male,No,False,False,4,4,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,79.9,324.3,Yes,1,0-6 mo,High ($70+),Churned
7083-YNSKY,Female,No,False,False,15,15,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Credit card (automatic),25.4,399.6,Yes,1,13-24 mo,Low ($0-35),Churned
2479-BRAMR,Male,Yes,True,False,41,41,True,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),83.75,3273.55,Yes,1,25-48 mo,High ($70+),Churned
7434-SHXLS,Female,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.9,20.9,Yes,1,0-6 mo,Low ($0-35),Churned
7908-QCBCA,Female,No,True,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,69.4,69.4,Yes,1,0-6 mo,Medium ($35-70),Churned
6711-FLDFB,Female,No,False,False,7,7,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.9,541.15,Yes,1,7-12 mo,High ($70+),Churned
3714-JTVOV,Female,Yes,True,False,42,42,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Credit card (automatic),74.15,3229.4,Yes,1,25-48 mo,High ($70+),Churned
4702-IOQDC,Female,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.1,70.1,Yes,1,0-6 mo,High ($70+),Churned
6178-KFNHS,Female,No,False,False,12,12,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,78.3,909.25,Yes,1,7-12 mo,High ($70+),Churned
1264-BYWMS,Male,No,False,False,55,55,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,96.8,5283.95,Yes,1,49-72 mo,High ($70+),Churned
9658-WYUFB,Female,No,False,False,17,17,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,94.4,1617.5,Yes,1,13-24 mo,High ($70+),Churned
2013-SGDXK,Female,No,False,False,1,1,True,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,False,Electronic check,84.3,84.3,Yes,1,0-6 mo,High ($70+),Churned
8580-QVLOC,Female,Yes,True,False,72,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),92.45,6440.25,Yes,1,49-72 mo,High ($70+),Churned
2012-NWRPA,Female,Yes,True,False,11,11,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,99.55,1131.2,Yes,1,7-12 mo,High ($70+),Churned
8808-ELEHO,Male,Yes,False,False,8,8,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,81.25,585.95,Yes,1,7-12 mo,High ($70+),Churned
3506-LCJDC,Male,No,True,True,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),19.95,19.95,Yes,1,0-6 mo,Low ($0-35),Churned
3934-HXCFZ,Male,No,True,False,23,23,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,True,Electronic check,99.25,2186.4,Yes,1,13-24 mo,High ($70+),Churned
7666-WKRON,Female,No,False,False,39,39,True,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,True,Electronic check,80.45,3201.55,Yes,1,25-48 mo,High ($70+),Churned
4910-AQFFX,Male,No,True,False,9,9,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),79.35,661.25,Yes,1,7-12 mo,High ($70+),Churned
2154-KVJFF,Female,No,False,False,15,15,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,79.75,1111.85,Yes,1,13-24 mo,High ($70+),Churned
9647-ERGBE,Female,No,True,False,30,30,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,100.05,3046.15,Yes,1,25-48 mo,High ($70+),Churned
3428-XZMAZ,Male,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.35,69.35,Yes,1,0-6 mo,Medium ($35-70),Churned
0378-TOVMS,Female,No,False,False,3,3,True,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,False,Electronic check,85.8,272.2,Yes,1,0-6 mo,High ($70+),Churned
4355-HBJHH,Male,No,True,False,67,67,True,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,True,Electronic check,79.7,5293.4,Yes,1,49-72 mo,High ($70+),Churned
9058-CBREO,Female,Yes,False,False,1,1,True,Yes,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,50.55,50.55,Yes,1,0-6 mo,Medium ($35-70),Churned
0318-QUUOB,Male,No,True,False,1,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,80.55,80.55,Yes,1,0-6 mo,High ($70+),Churned
